Date,Year,Month,Day_of_Week,Total_Registered,Academic_Status,Semester_Phase,Exam_Pressure,Is_Veg_Special,Is_NonVeg,Menu_Score,Temp_Max,Rain_mm,Target_Breakfast,Target_Lunch,Target_Dinner,Lag_1_Dinner,Lag_7_Dinner,Rolling_Avg_3Day,Cos_Month,Sin_Month
2020-03-11,2020,3,2,500,Exam,Mid,1.0,0,0,1.0,24.2,0.0,319,362,426,379.0,437.0,428.3333333333333,6.123233995736766e-17,1.0
2020-03-12,2020,3,3,500,Flight_Risk,Mid,0.0,1,0,1.05,22.1,0.0,160,227,268,426.0,462.0,357.6666666666667,6.123233995736766e-17,1.0
2020-03-13,2020,3,4,500,Holiday,Mid,0.0,1,1,1.15,22.4,0.0,25,36,43,268.0,500.0,245.66666666666666,6.123233995736766e-17,1.0
2020-03-14,2020,3,5,500,Regular,Mid,0.0,0,0,1.05,24.7,0.0,157,353,393,43.0,442.0,234.66666666666666,6.123233995736766e-17,1.0
2020-03-15,2020,3,6,500,Regular,Mid,0.0,1,1,1.2,18.8,0.0,177,399,444,393.0,500.0,293.3333333333333,6.123233995736766e-17,1.0
2020-03-16,2020,3,0,500,Regular,Mid,0.0,1,1,1.1,24.3,0.0,254,360,424,444.0,480.0,420.3333333333333,6.123233995736766e-17,1.0
2020-03-17,2020,3,1,500,Regular,Mid,0.0,0,0,0.85,21.0,0.0,185,262,309,424.0,379.0,392.3333333333333,6.123233995736766e-17,1.0
2020-03-18,2020,3,2,500,Regular,Mid,0.0,0,0,1.0,18.8,0.0,223,316,372,309.0,426.0,368.3333333333333,6.123233995736766e-17,1.0
2020-03-19,2020,3,3,500,Regular,Mid,0.0,1,0,1.05,18.6,0.0,247,350,412,372.0,268.0,364.3333333333333,6.123233995736766e-17,1.0
2020-03-20,2020,3,4,500,Fest,Mid,0.0,1,1,1.15,22.4,0.0,127,106,212,412.0,43.0,332.0,6.123233995736766e-17,1.0
2020-03-21,2020,3,5,500,Fest,Mid,0.0,0,0,1.05,19.2,0.0,78,97,195,212.0,393.0,273.0,6.123233995736766e-17,1.0
2020-03-22,2020,3,6,500,Fest,Mid,0.0,1,1,1.2,22.8,0.0,90,113,226,195.0,444.0,211.0,6.123233995736766e-17,1.0
2020-03-23,2020,3,0,500,Regular,Mid,0.0,1,1,1.1,21.2,0.0,253,358,422,226.0,424.0,281.0,6.123233995736766e-17,1.0
2020-03-24,2020,3,1,500,Regular,Mid,0.0,0,0,0.85,23.0,0.0,195,276,325,422.0,309.0,324.3333333333333,6.123233995736766e-17,1.0
2020-03-25,2020,3,2,500,Regular,Mid,0.0,0,0,1.0,24.9,0.0,223,317,373,325.0,372.0,373.3333333333333,6.123233995736766e-17,1.0
2020-03-26,2020,3,3,500,Regular,Mid,0.0,1,0,1.05,24.3,0.0,236,334,394,373.0,412.0,364.0,6.123233995736766e-17,1.0
2020-03-27,2020,3,4,500,Regular,Mid,0.0,1,1,1.15,25.1,0.0,268,380,448,394.0,212.0,405.0,6.123233995736766e-17,1.0
2020-03-28,2020,3,5,500,Regular,Mid,0.0,0,0,1.05,24.0,0.0,150,339,377,448.0,195.0,406.3333333333333,6.123233995736766e-17,1.0
2020-03-29,2020,3,6,500,Regular,Mid,0.0,1,1,1.2,19.6,0.0,185,416,463,377.0,226.0,429.3333333333333,6.123233995736766e-17,1.0
2020-03-30,2020,3,0,500,Regular,Mid,0.0,1,1,1.1,23.1,0.0,253,358,422,463.0,422.0,420.6666666666667,6.123233995736766e-17,1.0
2020-03-31,2020,3,1,500,Regular,Mid,0.0,0,0,0.85,24.0,0.0,196,277,327,422.0,325.0,404.0,6.123233995736766e-17,1.0
2020-04-01,2020,4,2,500,Regular,End,0.0,0,0,1.0,32.6,0.0,224,317,374,327.0,373.0,374.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-02,2020,4,3,500,Regular,End,0.0,1,0,1.05,30.7,0.0,242,343,404,374.0,394.0,368.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-03,2020,4,4,500,Regular,End,0.0,1,1,1.15,30.2,0.0,271,384,452,404.0,448.0,410.0,-0.4999999999999998,0.8660254037844387
2020-04-04,2020,4,5,500,Regular,End,0.0,0,0,1.05,26.9,0.0,161,363,404,452.0,377.0,420.0,-0.4999999999999998,0.8660254037844387
2020-04-05,2020,4,6,500,Regular,End,0.0,1,1,1.2,32.9,0.0,184,415,462,404.0,463.0,439.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-06,2020,4,0,500,Regular,End,0.0,1,1,1.1,31.4,0.0,241,341,402,462.0,422.0,422.6666666666667,-0.4999999999999998,0.8660254037844387
2020-04-07,2020,4,1,500,Regular,End,0.0,0,0,0.85,29.7,0.0,186,263,310,402.0,327.0,391.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-08,2020,4,2,500,Regular,End,0.0,0,0,1.0,30.0,0.0,234,331,390,310.0,374.0,367.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-09,2020,4,3,500,Regular,End,0.0,1,0,1.05,27.8,0.0,235,333,392,390.0,404.0,364.0,-0.4999999999999998,0.8660254037844387
2020-04-10,2020,4,4,500,Regular,End,0.0,1,1,1.15,29.1,0.0,269,381,449,392.0,452.0,410.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-11,2020,4,5,500,Regular,End,0.0,0,0,1.05,29.6,0.0,154,346,385,449.0,404.0,408.6666666666667,-0.4999999999999998,0.8660254037844387
2020-04-12,2020,4,6,500,Regular,End,0.0,1,1,1.2,32.3,0.0,174,392,436,385.0,462.0,423.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-13,2020,4,0,500,Regular,End,0.0,1,1,1.1,26.2,0.0,247,351,413,436.0,402.0,411.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-14,2020,4,1,500,Regular,End,0.0,0,0,0.85,30.0,0.0,190,269,317,413.0,310.0,388.6666666666667,-0.4999999999999998,0.8660254037844387
2020-04-15,2020,4,2,500,Regular,End,0.0,0,0,1.0,29.4,0.0,224,317,374,317.0,390.0,368.0,-0.4999999999999998,0.8660254037844387
2020-04-16,2020,4,3,500,Regular,End,0.0,1,0,1.05,28.8,0.0,231,327,385,374.0,392.0,358.6666666666667,-0.4999999999999998,0.8660254037844387
2020-04-17,2020,4,4,500,Regular,End,0.0,1,1,1.15,30.9,0.0,255,362,426,385.0,449.0,395.0,-0.4999999999999998,0.8660254037844387
2020-04-18,2020,4,5,500,Regular,End,0.0,0,0,1.05,26.2,0.0,163,367,408,426.0,385.0,406.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-19,2020,4,6,500,Regular,End,0.0,1,1,1.2,28.9,0.0,180,406,452,408.0,436.0,428.6666666666667,-0.4999999999999998,0.8660254037844387
2020-04-20,2020,4,0,500,Regular,End,0.0,1,1,1.1,26.5,0.0,235,333,392,452.0,413.0,417.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-21,2020,4,1,500,Regular,End,0.0,0,0,0.85,30.3,0.0,184,260,307,392.0,317.0,383.6666666666667,-0.4999999999999998,0.8660254037844387
2020-04-22,2020,4,2,500,Regular,End,0.0,0,0,1.0,32.0,0.0,215,305,359,307.0,374.0,352.6666666666667,-0.4999999999999998,0.8660254037844387
2020-04-23,2020,4,3,500,Regular,End,0.0,1,0,1.05,31.3,0.0,239,339,399,359.0,385.0,355.0,-0.4999999999999998,0.8660254037844387
2020-04-24,2020,4,4,500,Regular,End,0.0,1,1,1.15,28.3,0.0,253,358,422,399.0,426.0,393.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-25,2020,4,5,500,Regular,End,0.0,0,0,1.05,30.2,0.0,162,366,407,422.0,408.0,409.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-26,2020,4,6,500,Regular,End,0.0,1,1,1.2,27.4,0.0,178,401,446,407.0,452.0,425.0,-0.4999999999999998,0.8660254037844387
2020-04-27,2020,4,0,500,Regular,End,0.0,1,1,1.1,33.0,0.0,258,365,430,446.0,392.0,427.6666666666667,-0.4999999999999998,0.8660254037844387
2020-04-28,2020,4,1,500,Regular,End,0.0,0,0,0.85,32.7,0.0,183,259,305,430.0,307.0,393.6666666666667,-0.4999999999999998,0.8660254037844387
2020-04-29,2020,4,2,500,Regular,End,0.0,0,0,1.0,30.5,0.0,223,317,373,305.0,359.0,369.3333333333333,-0.4999999999999998,0.8660254037844387
2020-04-30,2020,4,3,500,Regular,End,0.0,1,0,1.05,31.6,0.0,243,344,405,373.0,399.0,361.0,-0.4999999999999998,0.8660254037844387
2020-05-01,2020,5,4,500,Regular,End,0.0,1,1,1.15,34.4,0.0,269,381,449,405.0,422.0,409.0,-0.8660254037844387,0.49999999999999994
2020-05-02,2020,5,5,500,Regular,End,0.0,0,0,1.05,39.0,0.0,164,370,412,449.0,407.0,422.0,-0.8660254037844387,0.49999999999999994
2020-05-03,2020,5,6,500,Regular,End,0.0,1,1,1.2,34.9,0.0,171,385,428,412.0,446.0,429.6666666666667,-0.8660254037844387,0.49999999999999994
2020-05-04,2020,5,0,500,Exam,End,1.0,1,1,1.1,39.2,0.0,356,403,475,428.0,430.0,438.3333333333333,-0.8660254037844387,0.49999999999999994
2020-05-05,2020,5,1,500,Exam,End,1.0,0,0,0.85,40.0,0.0,269,305,359,475.0,305.0,420.6666666666667,-0.8660254037844387,0.49999999999999994
2020-05-06,2020,5,2,500,Exam,End,1.0,0,0,1.0,41.2,0.0,338,383,451,359.0,373.0,428.3333333333333,-0.8660254037844387,0.49999999999999994
2020-05-07,2020,5,3,500,Exam,End,1.0,1,0,1.05,40.7,0.0,339,384,452,451.0,405.0,420.6666666666667,-0.8660254037844387,0.49999999999999994
2020-05-08,2020,5,4,500,Exam,End,1.0,1,1,1.15,33.5,0.0,375,425,500,452.0,449.0,467.6666666666667,-0.8660254037844387,0.49999999999999994
2020-05-09,2020,5,5,500,Exam,End,1.0,0,0,1.05,35.1,0.0,330,396,441,500.0,412.0,464.3333333333333,-0.8660254037844387,0.49999999999999994
2020-05-10,2020,5,6,500,Exam,End,1.0,1,1,1.2,38.9,0.0,375,450,500,441.0,428.0,480.3333333333333,-0.8660254037844387,0.49999999999999994
2020-05-11,2020,5,0,500,Exam,End,1.0,1,1,1.1,35.9,0.0,337,382,450,500.0,475.0,463.6666666666667,-0.8660254037844387,0.49999999999999994
2020-05-12,2020,5,1,500,Exam,End,1.0,0,0,0.85,39.8,0.0,263,298,351,450.0,359.0,433.6666666666667,-0.8660254037844387,0.49999999999999994
2020-05-13,2020,5,2,500,Exam,End,1.0,0,0,1.0,34.2,0.0,306,347,409,351.0,451.0,403.3333333333333,-0.8660254037844387,0.49999999999999994
2020-05-14,2020,5,3,500,Exam,End,1.0,1,0,1.05,34.5,0.0,334,379,446,409.0,452.0,402.0,-0.8660254037844387,0.49999999999999994
2020-05-15,2020,5,4,500,Semester_Break,End,0.0,1,1,1.15,38.3,0.0,33,47,56,446.0,500.0,303.6666666666667,-0.8660254037844387,0.49999999999999994
2020-05-16,2020,5,5,500,Semester_Break,End,0.0,0,0,1.05,36.0,0.0,20,45,51,56.0,441.0,184.33333333333334,-0.8660254037844387,0.49999999999999994
2020-05-17,2020,5,6,500,Semester_Break,End,0.0,1,1,1.2,34.4,0.0,22,51,57,51.0,500.0,54.666666666666664,-0.8660254037844387,0.49999999999999994
2020-05-18,2020,5,0,500,Semester_Break,End,0.0,1,1,1.1,38.3,0.0,34,48,57,57.0,450.0,55.0,-0.8660254037844387,0.49999999999999994
2020-05-19,2020,5,1,500,Semester_Break,End,0.0,0,0,0.85,40.5,0.0,24,34,41,57.0,351.0,51.666666666666664,-0.8660254037844387,0.49999999999999994
2020-05-20,2020,5,2,500,Semester_Break,End,0.0,0,0,1.0,37.8,0.0,30,42,50,41.0,409.0,49.333333333333336,-0.8660254037844387,0.49999999999999994
2020-05-21,2020,5,3,500,Semester_Break,End,0.0,1,0,1.05,40.7,0.0,31,44,52,50.0,446.0,47.666666666666664,-0.8660254037844387,0.49999999999999994
2020-05-22,2020,5,4,500,Semester_Break,End,0.0,1,1,1.15,35.4,0.0,33,46,55,52.0,56.0,52.333333333333336,-0.8660254037844387,0.49999999999999994
2020-05-23,2020,5,5,500,Semester_Break,End,0.0,0,0,1.05,37.7,0.0,20,45,51,55.0,51.0,52.666666666666664,-0.8660254037844387,0.49999999999999994
2020-05-24,2020,5,6,500,Semester_Break,End,0.0,1,1,1.2,41.0,0.0,23,53,59,51.0,57.0,55.0,-0.8660254037844387,0.49999999999999994
2020-05-25,2020,5,0,500,Semester_Break,End,0.0,1,1,1.1,41.3,0.0,34,48,57,59.0,57.0,55.666666666666664,-0.8660254037844387,0.49999999999999994
2020-05-26,2020,5,1,500,Semester_Break,End,0.0,0,0,0.85,34.4,0.0,24,34,41,57.0,41.0,52.333333333333336,-0.8660254037844387,0.49999999999999994
2020-05-27,2020,5,2,500,Semester_Break,End,0.0,0,0,1.0,34.1,0.0,29,41,49,41.0,50.0,49.0,-0.8660254037844387,0.49999999999999994
2020-05-28,2020,5,3,500,Semester_Break,End,0.0,1,0,1.05,36.5,0.0,30,42,50,49.0,52.0,46.666666666666664,-0.8660254037844387,0.49999999999999994
2020-05-29,2020,5,4,500,Semester_Break,End,0.0,1,1,1.15,40.2,0.0,32,45,54,50.0,55.0,51.0,-0.8660254037844387,0.49999999999999994
2020-05-30,2020,5,5,500,Semester_Break,End,0.0,0,0,1.05,40.6,0.0,20,45,50,54.0,51.0,51.333333333333336,-0.8660254037844387,0.49999999999999994
2020-05-31,2020,5,6,500,Semester_Break,End,0.0,1,1,1.2,40.7,0.0,24,54,61,50.0,59.0,55.0,-0.8660254037844387,0.49999999999999994
2020-06-01,2020,6,0,500,Semester_Break,Mid,0.0,1,1,1.1,41.6,0.0,33,47,56,61.0,57.0,55.666666666666664,-1.0,1.2246467991473532e-16
2020-06-02,2020,6,1,500,Semester_Break,Mid,0.0,0,0,0.85,43.7,0.0,24,34,41,56.0,41.0,52.666666666666664,-1.0,1.2246467991473532e-16
2020-06-03,2020,6,2,500,Semester_Break,Mid,0.0,0,0,1.0,41.5,0.0,28,39,47,41.0,49.0,48.0,-1.0,1.2246467991473532e-16
2020-06-04,2020,6,3,500,Semester_Break,Mid,0.0,1,0,1.05,44.7,0.0,31,44,52,47.0,50.0,46.666666666666664,-1.0,1.2246467991473532e-16
2020-06-05,2020,6,4,500,Semester_Break,Mid,0.0,1,1,1.15,42.9,0.0,36,51,60,52.0,54.0,53.0,-1.0,1.2246467991473532e-16
2020-06-06,2020,6,5,500,Semester_Break,Mid,0.0,0,0,1.05,44.3,0.0,20,45,51,60.0,50.0,54.333333333333336,-1.0,1.2246467991473532e-16
2020-06-07,2020,6,6,500,Semester_Break,Mid,0.0,1,1,1.2,45.9,0.0,24,55,62,51.0,61.0,57.666666666666664,-1.0,1.2246467991473532e-16
2020-06-08,2020,6,0,500,Semester_Break,Mid,0.0,1,1,1.1,40.3,0.0,31,44,52,62.0,56.0,55.0,-1.0,1.2246467991473532e-16
2020-06-09,2020,6,1,500,Semester_Break,Mid,0.0,0,0,0.85,44.7,0.0,26,37,44,52.0,41.0,52.666666666666664,-1.0,1.2246467991473532e-16
2020-06-10,2020,6,2,500,Semester_Break,Mid,0.0,0,0,1.0,41.8,0.0,29,41,49,44.0,47.0,48.333333333333336,-1.0,1.2246467991473532e-16
2020-06-11,2020,6,3,500,Semester_Break,Mid,0.0,1,0,1.05,44.6,0.0,31,44,52,49.0,52.0,48.333333333333336,-1.0,1.2246467991473532e-16
2020-06-12,2020,6,4,500,Semester_Break,Mid,0.0,1,1,1.15,43.9,0.0,36,51,60,52.0,60.0,53.666666666666664,-1.0,1.2246467991473532e-16
2020-06-13,2020,6,5,500,Semester_Break,Mid,0.0,0,0,1.05,45.4,0.0,21,47,53,60.0,51.0,55.0,-1.0,1.2246467991473532e-16
2020-06-14,2020,6,6,500,Semester_Break,Mid,0.0,1,1,1.2,41.6,0.0,24,54,60,53.0,62.0,57.666666666666664,-1.0,1.2246467991473532e-16
